UrunAdi;CozunurlukBilgisi;Fiyat;EkranBoyutu;YenilemeHizi;EkranTeknolojisi;TeknikPuan;Sablon
"Gigabyte AORUS FO27Q5P";"2560x1440 piksel / WQHD";"";"27 İnç";"500 Hz";"OLED";"96";"Gigabyte AORUS FO27Q5P (2560x1440 piksel / WQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 27 İnç, yenileme hızı 500 Hz, ekran teknolojisi OLED ve teknik puanı 96'dir."
"Asus ROG Swift OLED PG27AQWP-W";"2560x1440 piksel / WQHD";"";"26.5 İnç";"540 Hz";"OLED";"95";"Asus ROG Swift OLED PG27AQWP-W (2560x1440 piksel / WQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 26.5 İnç, yenileme hızı 540 Hz, ekran teknolojisi OLED ve teknik puanı 95'dir."
"LG UltraGear 34GX90SA-W";"3440x1440 piksel / UWQHD";"";"34 İnç";"240 Hz";"OLED";"95";"LG UltraGear 34GX90SA-W (3440x1440 piksel / UWQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 34 İnç, yenileme hızı 240 Hz, ekran teknolojisi OLED ve teknik puanı 95'dir."
"MSI MPG 491CQP QD-OLED";"5120x1440 piksel / UW-DQHD";"";"49 İnç";"144 Hz";"OLED";"95";"MSI MPG 491CQP QD-OLED (5120x1440 piksel / UW-DQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 49 İnç, yenileme hızı 144 Hz, ekran teknolojisi OLED ve teknik puanı 95'dir."
"LG UltraGear 45GX90SA-B";"3440x1440 piksel / UWQHD";"";"44.5 İnç";"240 Hz";"OLED";"95";"LG UltraGear 45GX90SA-B (3440x1440 piksel / UWQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 44.5 İnç, yenileme hızı 240 Hz, ekran teknolojisi OLED ve teknik puanı 95'dir."
"AOC Agon Pro AG456UCZD";"3440x1440 piksel / UWQHD";"";"44.5 İnç";"240 Hz";"OLED";"95";"AOC Agon Pro AG456UCZD (3440x1440 piksel / UWQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 44.5 İnç, yenileme hızı 240 Hz, ekran teknolojisi OLED ve teknik puanı 95'dir."
"Asus ROG Strix OLED XG32UCWMG";"3840x2160 piksel / 4K UHD";"";"31.5 İnç";"240 Hz";"OLED";"95";"Asus ROG Strix OLED XG32UCWMG (3840x2160 piksel / 4K UHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 31.5 İnç, yenileme hızı 240 Hz, ekran teknolojisi OLED ve teknik puanı 95'dir."
"Asus ROG Strix OLED PG39WCDM";"3440x1440 piksel / UWQHD";"";"39 İnç";"240 Hz";"OLED";"94";"Asus ROG Strix OLED PG39WCDM (3440x1440 piksel / UWQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 39 İnç, yenileme hızı 240 Hz, ekran teknolojisi OLED ve teknik puanı 94'dir."
"Asus ProArt PA32UCXR";"3840x2160 piksel / 4K UHD";"";"32 İnç";"60 Hz";"IPS";"94";"Asus ProArt PA32UCXR (3840x2160 piksel / 4K UHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 32 İnç, yenileme hızı 60 Hz, ekran teknolojisi IPS ve teknik puanı 94'dir."
"Asus ROG Strix OLED XG27UCDMG";"3840x2160 piksel / 4K UHD";"";"26.5 İnç";"240 Hz";"OLED";"94";"Asus ROG Strix OLED XG27UCDMG (3840x2160 piksel / 4K UHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 26.5 İnç, yenileme hızı 240 Hz, ekran teknolojisi OLED ve teknik puanı 94'dir."
"Asus ROG Swift OLED PG32UCDMZ";"3840x2160 piksel / 4K UHD";"";"31.5 İnç";"240 Hz";"OLED";"94";"Asus ROG Swift OLED PG32UCDMZ (3840x2160 piksel / 4K UHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 31.5 İnç, yenileme hızı 240 Hz, ekran teknolojisi OLED ve teknik puanı 94'dir."
"Samsung Odyssey Ark 55"" LS55CG97WNUXUF (S55CG97)";"3840x2160 piksel / 4K UHD";"";"54.6 İnç";"165 Hz";"VA";"94";"Samsung Odyssey Ark 55"" LS55CG97WNUXUF (S55CG97) (3840x2160 piksel / 4K UHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 54.6 İnç, yenileme hızı 165 Hz, ekran teknolojisi VA ve teknik puanı 94'dir."
"Samsung Odyssey OLED G9 49"" LS49DG954SUXUF (S49DG954S)";"5120x1440 piksel / UW-DQHD";"";"49 İnç";"240 Hz";"OLED";"94";"Samsung Odyssey OLED G9 49"" LS49DG954SUXUF (S49DG954S) (5120x1440 piksel / UW-DQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 49 İnç, yenileme hızı 240 Hz, ekran teknolojisi OLED ve teknik puanı 94'dir."
"MSI MPG 272QR QD-OLED X50";"2560x1440 piksel / WQHD";"";"26.5 İnç";"500 Hz";"OLED";"94";"MSI MPG 272QR QD-OLED X50 (2560x1440 piksel / WQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 26.5 İnç, yenileme hızı 500 Hz, ekran teknolojisi OLED ve teknik puanı 94'dir."
"MSI MPG 271QR QD-OLED X50";"2560x1440 piksel / WQHD";"";"26.5 İnç";"500 Hz";"OLED";"94";"MSI MPG 271QR QD-OLED X50 (2560x1440 piksel / WQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 26.5 İnç, yenileme hızı 500 Hz, ekran teknolojisi OLED ve teknik puanı 94'dir."
"Samsung Odyssey OLED G9 49"" LS49CG950SUXUF (S49CG950S)";"5120x1440 piksel / UW-DQHD";"";"49 İnç";"240 Hz";"OLED";"94";"Samsung Odyssey OLED G9 49"" LS49CG950SUXUF (S49CG950S) (5120x1440 piksel / UW-DQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 49 İnç, yenileme hızı 240 Hz, ekran teknolojisi OLED ve teknik puanı 94'dir."
"Samsung Odyssey OLED G9 49"" LS49CG954SUXUF (S49CG954S)";"5120x1440 piksel / UW-DQHD";"";"49 İnç";"240 Hz";"OLED";"94";"Samsung Odyssey OLED G9 49"" LS49CG954SUXUF (S49CG954S) (5120x1440 piksel / UW-DQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 49 İnç, yenileme hızı 240 Hz, ekran teknolojisi OLED ve teknik puanı 94'dir."
"Samsung LS32FM902SUXUF (S32FM902)";"3840x2160 piksel / 4K UHD";"";"31.6 İnç";"165 Hz";"OLED";"94";"Samsung LS32FM902SUXUF (S32FM902) (3840x2160 piksel / 4K UHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 31.6 İnç, yenileme hızı 165 Hz, ekran teknolojisi OLED ve teknik puanı 94'dir."
"Asus ROG Swift OLED PG32UCDM";"3840x2160 piksel / 4K UHD";"";"31.5 İnç";"240 Hz";"OLED";"94";"Asus ROG Swift OLED PG32UCDM (3840x2160 piksel / 4K UHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 31.5 İnç, yenileme hızı 240 Hz, ekran teknolojisi OLED ve teknik puanı 94'dir."
"Asus ROG Strix OLED XG34WCDMTG";"3440x1440 piksel / UWQHD";"";"34 İnç";"240 Hz";"OLED";"93";"Asus ROG Strix OLED XG34WCDMTG (3440x1440 piksel / UWQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 34 İnç, yenileme hızı 240 Hz, ekran teknolojisi OLED ve teknik puanı 93'dir."
"Samsung Odyssey Neo G9 57"" LS57CG952NUXUF (S57CG95)";"7680x2160 piksel / Dual UHD";"";"57 İnç";"240 Hz";"VA";"93";"Samsung Odyssey Neo G9 57"" LS57CG952NUXUF (S57CG95) (7680x2160 piksel / Dual UHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 57 İnç, yenileme hızı 240 Hz, ekran teknolojisi VA ve teknik puanı 93'dir."
"HP OMEN Transcend 32 (9R181AA)";"3840x2160 piksel / 4K UHD";"";"31.5 İnç";"240 Hz";"OLED";"93";"HP OMEN Transcend 32 (9R181AA) (3840x2160 piksel / 4K UHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 31.5 İnç, yenileme hızı 240 Hz, ekran teknolojisi OLED ve teknik puanı 93'dir."
"Asus ROG Swift OLED PG32UCDMR";"3840x2160 piksel / 4K UHD";"";"31.5 İnç";"240 Hz";"OLED";"93";"Asus ROG Swift OLED PG32UCDMR (3840x2160 piksel / 4K UHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 31.5 İnç, yenileme hızı 240 Hz, ekran teknolojisi OLED ve teknik puanı 93'dir."
"Lenovo Legion Pro 34WD-10";"3440x1440 piksel / UWQHD";"";"34 İnç";"240 Hz";"OLED";"93";"Lenovo Legion Pro 34WD-10 (3440x1440 piksel / UWQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 34 İnç, yenileme hızı 240 Hz, ekran teknolojisi OLED ve teknik puanı 93'dir."
"LG UltraGear 32GS95UE-B";"3840x2160 piksel / 4K UHD";"";"31.5 İnç";"240 Hz";"OLED";"93";"LG UltraGear 32GS95UE-B (3840x2160 piksel / 4K UHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 31.5 İnç, yenileme hızı 240 Hz, ekran teknolojisi OLED ve teknik puanı 93'dir."
"Asus ROG Strix OLED XG32UCWG";"3840x2160 piksel / 4K UHD";"";"31.5 İnç";"165 Hz";"OLED";"93";"Asus ROG Strix OLED XG32UCWG (3840x2160 piksel / 4K UHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 31.5 İnç, yenileme hızı 165 Hz, ekran teknolojisi OLED ve teknik puanı 93'dir."
"LG UltraGear 32GS95UV-B";"3840x2160 piksel / 4K UHD";"";"31.5 İnç";"240 Hz";"OLED";"93";"LG UltraGear 32GS95UV-B (3840x2160 piksel / 4K UHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 31.5 İnç, yenileme hızı 240 Hz, ekran teknolojisi OLED ve teknik puanı 93'dir."
"Asus ROG Swift PG27UCDM";"3840x2160 piksel / 4K UHD";"";"26.5 İnç";"240 Hz";"OLED";"93";"Asus ROG Swift PG27UCDM (3840x2160 piksel / 4K UHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 26.5 İnç, yenileme hızı 240 Hz, ekran teknolojisi OLED ve teknik puanı 93'dir."
"Asus ROG Swift OLED PG34WCDM";"3440x1440 piksel / UWQHD";"";"33.94 İnç";"240 Hz";"OLED";"93";"Asus ROG Swift OLED PG34WCDM (3440x1440 piksel / UWQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 33.94 İnç, yenileme hızı 240 Hz, ekran teknolojisi OLED ve teknik puanı 93'dir."
"Lenovo Legion Pro 32UD-10";"3840x2160 piksel / 4K UHD";"";"31.5 İnç";"240 Hz";"OLED";"92";"Lenovo Legion Pro 32UD-10 (3840x2160 piksel / 4K UHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 31.5 İnç, yenileme hızı 240 Hz, ekran teknolojisi OLED ve teknik puanı 92'dir."
"Gigabyte AORUS FO32U2";"3840x2160 piksel / 4K UHD";"";"31.5 İnç";"240 Hz";"OLED";"92";"Gigabyte AORUS FO32U2 (3840x2160 piksel / 4K UHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 31.5 İnç, yenileme hızı 240 Hz, ekran teknolojisi OLED ve teknik puanı 92'dir."
"Samsung Odyssey OLED G9 49"" LS49CG934SUXUF (S49CG934S)";"5120x1440 piksel / UW-DQHD";"";"49 İnç";"240 Hz";"OLED";"92";"Samsung Odyssey OLED G9 49"" LS49CG934SUXUF (S49CG934S) (5120x1440 piksel / UW-DQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 49 İnç, yenileme hızı 240 Hz, ekran teknolojisi OLED ve teknik puanı 92'dir."
"Gigabyte AORUS CO49DQ";"5120x1440 piksel / UW-DQHD";"";"49 İnç";"144 Hz";"OLED";"92";"Gigabyte AORUS CO49DQ (5120x1440 piksel / UW-DQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 49 İnç, yenileme hızı 144 Hz, ekran teknolojisi OLED ve teknik puanı 92'dir."
"MSI MPG 322URX QD-OLED";"3840x2160 piksel / 4K UHD";"";"31.5 İnç";"240 Hz";"OLED";"92";"MSI MPG 322URX QD-OLED (3840x2160 piksel / 4K UHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 31.5 İnç, yenileme hızı 240 Hz, ekran teknolojisi OLED ve teknik puanı 92'dir."
"MSI MPG 321CURX QD-OLED";"3840x2160 piksel / 4K UHD";"";"31.5 İnç";"240 Hz";"OLED";"92";"MSI MPG 321CURX QD-OLED (3840x2160 piksel / 4K UHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 31.5 İnç, yenileme hızı 240 Hz, ekran teknolojisi OLED ve teknik puanı 92'dir."
"MSI MPG 321URXW QD-OLED";"3840x2160 piksel / 4K UHD";"";"31.5 İnç";"240 Hz";"OLED";"92";"MSI MPG 321URXW QD-OLED (3840x2160 piksel / 4K UHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 31.5 İnç, yenileme hızı 240 Hz, ekran teknolojisi OLED ve teknik puanı 92'dir."
"Asus ProArt OLED PA32UCDM";"3840x2160 piksel / 4K UHD";"";"31.5 İnç";"240 Hz";"OLED";"92";"Asus ProArt OLED PA32UCDM (3840x2160 piksel / 4K UHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 31.5 İnç, yenileme hızı 240 Hz, ekran teknolojisi OLED ve teknik puanı 92'dir."
"MSI MPG 272URX QD-OLED";"3840x2160 piksel / 4K UHD";"";"26.5 İnç";"240 Hz";"OLED";"92";"MSI MPG 272URX QD-OLED (3840x2160 piksel / 4K UHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 26.5 İnç, yenileme hızı 240 Hz, ekran teknolojisi OLED ve teknik puanı 92'dir."
"MSI MPG 321URX QD-OLED";"3840x2160 piksel / 4K UHD";"";"31.5 İnç";"240 Hz";"OLED";"92";"MSI MPG 321URX QD-OLED (3840x2160 piksel / 4K UHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 31.5 İnç, yenileme hızı 240 Hz, ekran teknolojisi OLED ve teknik puanı 92'dir."
"LG UltraGear 34GX900A-B";"3440x1440 piksel / UWQHD";"";"33.9 İnç";"240 Hz";"OLED";"92";"LG UltraGear 34GX900A-B (3440x1440 piksel / UWQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 33.9 İnç, yenileme hızı 240 Hz, ekran teknolojisi OLED ve teknik puanı 92'dir."
"Asus ProArt PA27UCGE";"3840x2160 piksel / 4K UHD";"";"27 İnç";"160 Hz";"IPS";"92";"Asus ProArt PA27UCGE (3840x2160 piksel / 4K UHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 27 İnç, yenileme hızı 160 Hz, ekran teknolojisi IPS ve teknik puanı 92'dir."
"Philips Evnia 42M2N8900/00";"3840x2160 piksel / 4K UHD";"";"41.54 İnç";"138 Hz";"OLED";"92";"Philips Evnia 42M2N8900/00 (3840x2160 piksel / 4K UHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 41.54 İnç, yenileme hızı 138 Hz, ekran teknolojisi OLED ve teknik puanı 92'dir."
"Philips Evnia 32M2N8900/00";"3840x2160 piksel / 4K UHD";"";"31.5 İnç";"240 Hz";"OLED";"91";"Philips Evnia 32M2N8900/00 (3840x2160 piksel / 4K UHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 31.5 İnç, yenileme hızı 240 Hz, ekran teknolojisi OLED ve teknik puanı 91'dir."
"Asus ROG Strix OLED XG27ACDNG";"2560x1440 piksel / WQHD";"";"26.5 İnç";"360 Hz";"OLED";"91";"Asus ROG Strix OLED XG27ACDNG (2560x1440 piksel / WQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 26.5 İnç, yenileme hızı 360 Hz, ekran teknolojisi OLED ve teknik puanı 91'dir."
"Samsung Odyssey Neo G9 49"" LS49AG950NPXUF";"5120x1440 piksel / UW-DQHD";"";"48.8 İnç";"240 Hz";"VA";"91";"Samsung Odyssey Neo G9 49"" LS49AG950NPXUF (5120x1440 piksel / UW-DQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 48.8 İnç, yenileme hızı 240 Hz, ekran teknolojisi VA ve teknik puanı 91'dir."
"Asus ProArt PA32UCG-K";"3840x2160 piksel / 4K UHD";"";"32 İnç";"120 Hz";"IPS";"91";"Asus ProArt PA32UCG-K (3840x2160 piksel / 4K UHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 32 İnç, yenileme hızı 120 Hz, ekran teknolojisi IPS ve teknik puanı 91'dir."
"Samsung Odyssey Neo G9 49"" LS49AG950NUXUF";"5120x1440 piksel / UW-DQHD";"";"48.8 İnç";"240 Hz";"VA";"91";"Samsung Odyssey Neo G9 49"" LS49AG950NUXUF (5120x1440 piksel / UW-DQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 48.8 İnç, yenileme hızı 240 Hz, ekran teknolojisi VA ve teknik puanı 91'dir."
"AOC Agon Pro AG276UZD";"3840x2160 piksel / 4K UHD";"";"26.5 İnç";"240 Hz";"OLED";"91";"AOC Agon Pro AG276UZD (3840x2160 piksel / 4K UHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 26.5 İnç, yenileme hızı 240 Hz, ekran teknolojisi OLED ve teknik puanı 91'dir."
"Asus ProArt PA32UCE";"3840x2160 piksel / 4K UHD";"";"31.5 İnç";"60 Hz";"IPS";"91";"Asus ProArt PA32UCE (3840x2160 piksel / 4K UHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 31.5 İnç, yenileme hızı 60 Hz, ekran teknolojisi IPS ve teknik puanı 91'dir."
"Samsung Odyssey OLED G9 49"" LS49DG934SUXUF (S49DG934)";"5120x1440 piksel / UW-DQHD";"";"48.9 İnç";"240 Hz";"OLED";"91";"Samsung Odyssey OLED G9 49"" LS49DG934SUXUF (S49DG934) (5120x1440 piksel / UW-DQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 48.9 İnç, yenileme hızı 240 Hz, ekran teknolojisi OLED ve teknik puanı 91'dir."
"Gigabyte MO27U2";"3840x2160 piksel / 4K UHD";"";"27 İnç";"240 Hz";"OLED";"91";"Gigabyte MO27U2 (3840x2160 piksel / 4K UHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 27 İnç, yenileme hızı 240 Hz, ekran teknolojisi OLED ve teknik puanı 91'dir."
"Cooler Master Tempest GP27U";"3840x2160 piksel / 4K UHD";"";"27 İnç";"160 Hz";"IPS";"91";"Cooler Master Tempest GP27U (3840x2160 piksel / 4K UHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 27 İnç, yenileme hızı 160 Hz, ekran teknolojisi IPS ve teknik puanı 91'dir."
"Lenovo Legion Pro 27UD-10";"3840x2160 piksel / 4K UHD";"";"26.5 İnç";"240 Hz";"OLED";"91";"Lenovo Legion Pro 27UD-10 (3840x2160 piksel / 4K UHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 26.5 İnç, yenileme hızı 240 Hz, ekran teknolojisi OLED ve teknik puanı 91'dir."
"Dell Alienware 32 AW3225QF";"3840x2160 piksel / 4K UHD";"";"31.6 İnç";"240 Hz";"OLED";"91";"Dell Alienware 32 AW3225QF (3840x2160 piksel / 4K UHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 31.6 İnç, yenileme hızı 240 Hz, ekran teknolojisi OLED ve teknik puanı 91'dir."
"Asus ProArt OLED PA32DC";"3840x2160 piksel / 4K UHD";"";"31.5 İnç";"60 Hz";"OLED";"90";"Asus ProArt OLED PA32DC (3840x2160 piksel / 4K UHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 31.5 İnç, yenileme hızı 60 Hz, ekran teknolojisi OLED ve teknik puanı 90'dir."
"Dell Alienware AW2725Q";"3840x2160 piksel / 4K UHD";"";"26.7 İnç";"240 Hz";"OLED";"90";"Dell Alienware AW2725Q (3840x2160 piksel / 4K UHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 26.7 İnç, yenileme hızı 240 Hz, ekran teknolojisi OLED ve teknik puanı 90'dir."
"MSI MAG 272QP QD-OLED X50";"2560x1440 piksel / WQHD";"";"26.5 İnç";"500 Hz";"OLED";"90";"MSI MAG 272QP QD-OLED X50 (2560x1440 piksel / WQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 26.5 İnç, yenileme hızı 500 Hz, ekran teknolojisi OLED ve teknik puanı 90'dir."
"Lenovo Yoga Pro 27UD-10";"3840x2160 piksel / 4K UHD";"";"26.5 İnç";"120 Hz";"OLED";"90";"Lenovo Yoga Pro 27UD-10 (3840x2160 piksel / 4K UHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 26.5 İnç, yenileme hızı 120 Hz, ekran teknolojisi OLED ve teknik puanı 90'dir."
"MSI MPG 341CQPX QD-OLED";"3440x1440 piksel / UWQHD";"";"34.18 İnç";"240 Hz";"OLED";"90";"MSI MPG 341CQPX QD-OLED (3440x1440 piksel / UWQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 34.18 İnç, yenileme hızı 240 Hz, ekran teknolojisi OLED ve teknik puanı 90'dir."
"Asus ROG Strix OLED XG27AQDPG";"2560x1440 piksel / WQHD";"";"26.5 İnç";"500 Hz";"OLED";"90";"Asus ROG Strix OLED XG27AQDPG (2560x1440 piksel / WQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 26.5 İnç, yenileme hızı 500 Hz, ekran teknolojisi OLED ve teknik puanı 90'dir."
"BenQ MOBIUZ EX480UZ";"3840x2160 piksel / 4K UHD";"";"47.53 İnç";"120 Hz";"OLED";"90";"BenQ MOBIUZ EX480UZ (3840x2160 piksel / 4K UHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 47.53 İnç, yenileme hızı 120 Hz, ekran teknolojisi OLED ve teknik puanı 90'dir."
"LG UltraGear 45GS95QE-B";"3440x1440 piksel / UWQHD";"";"44.5 İnç";"240 Hz";"OLED";"90";"LG UltraGear 45GS95QE-B (3440x1440 piksel / UWQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 44.5 İnç, yenileme hızı 240 Hz, ekran teknolojisi OLED ve teknik puanı 90'dir."
"Gigabyte MO32U";"3840x2160 piksel / 4K UHD";"";"31.5 İnç";"165 Hz";"OLED";"90";"Gigabyte MO32U (3840x2160 piksel / 4K UHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 31.5 İnç, yenileme hızı 165 Hz, ekran teknolojisi OLED ve teknik puanı 90'dir."
"Gigabyte AORUS FO32U";"3840x2160 piksel / 4K UHD";"";"31.5 İnç";"165 Hz";"OLED";"90";"Gigabyte AORUS FO32U (3840x2160 piksel / 4K UHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 31.5 İnç, yenileme hızı 165 Hz, ekran teknolojisi OLED ve teknik puanı 90'dir."
